Altitud m,Temperatura °C,Presión kPa,Gravedad m/s^2,Vel del sonido m/s,Densidad kg/m^3,Viscosidad kg/(m*s),Conductividad térmica W>/m * K
0,15,"101,33","9,807","340,3","1,225","0,00001789","0,0253"
200,"13,7","98,95","9,806","339,5","1,202","0,00001783","0,0252"
400,"12,4","96,61","9,805","338,8","1,179","0,00001777","0,0252"
600,"11,1","94,32","9,805",338,"1,156","0,00001771","0,0251"
800,"9,8","92,08","9,804","337,2","1,134","0,00001764","0,025"
1000,"8,5","89,88","9,804","336,4","1,112","0,00001758","0,0249"
1200,"7,2","87,72","9,803","335,7","1,09","0,00001752","0,0248"
1400,"5,9","85,6","9,802","334,9","1,069","0,00001745","0,0247"
1600,"4,6","83,53","9,802","334,1","1,048","0,00001739","0,0245"
1800,"3,3","81,49","9,801","333,3","1,027","0,00001732","0,0244"
2000,2,"79,5","9,8","332,5","1,007","0,00001726","0,0243"
2200,"0,7","77,55","9,8","331,7","0,987","0,0000172","0,0242"
2400,"-0,59","75,63","9,799",331,"0,967","0,00001713","0,0241"
2600,"-1,89","73,76","9,799","330,2","0,947","0,00001707","0,024"
2800,"-3,19","71,92","9,798","329,4","0,928","0,000017","0,0239"
3000,"-4,49","70,12","9,797","328,6","0,909","0,00001694","0,0238"
3200,"-5,79","68,36","9,797","327,8","0,891","0,00001687","0,0237"
3400,"-7,09","66,63","9,796",327,"0,872","0,00001681","0,0236"
3600,"-8,39","64,94","9,796","326,2","0,854","0,00001674","0,0235"
3800,"-9,69","63,28","9,795","325,4","0,837","0,00001668","0,0234"
4000,"-10,98","61,66","9,794","324,6","0,819","0,00001661","0,0233"
4200,"-12,3","60,07","9,794","323,8","0,802","0,00001655","0,0232"
4400,"-13,6","58,52","9,793",323,"0,785","0,0000148","0,0231"
4600,"-14,9",57,"9,793","322,2","0,769","0,00001642","0,023"
4800,"-16,2","55,51","9,792","321,4","0,752","0,00001635","0,0229"
5000,"-17,5","54,05","9,791","320,5","0,736","0,00001628","0,0228"